,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
78,SICKO MODE,Travis Scott,1008495,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
79,rockstar (feat. 21 Savage),Post Malone,990036,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
80,Panini - DaBaby Remix,Lil Nas X,987238,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
81,Did It Again,Lil Tecca,978804,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
82,Believer,Imagine Dragons,977812,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
83,I.F.L.Y.,Bazzi,977632,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
84,Without Me,Halsey,977092,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
85,Goteo,Duki,975984,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
86,Calma - Remix,Pedro Capó,975930,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
87,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,963040,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
88,Otro Trago,Sech,958791,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
89,Sweet but Psycho,Ava Max,952890,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
90,3 Nights,Dominic Fike,951992,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
91,Suge,DaBaby,949737,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
92,when the party's over,Billie Eilish,948922,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
93,Si Se Da - Remix,Myke Towers,942559,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
94,Eastside (with Halsey & Khalid),benny blanco,937945,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
95,Baby (Lil Baby feat. DaBaby),Quality Control,937411,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
96,Dancing With A Stranger (with Normani),Sam Smith,933114,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
97,Shape of You,Ed Sheeran,929747,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
98,Shameless,Camila Cabello,914182,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
99,"thank u, next",Ariana Grande,911752,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
100,Instagram,Dimitri Vegas & Like Mike,905518,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
101,Que Calor (feat. J Balvin & El Alfa),Major Lazer,898688,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
102,Ransom (with Juice WRLD) - Remix,Lil Tecca,897092,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
103,Ronin,Bushido,883885,https://open.spotify.com/track/2l2UsmkfgmRC6fIDwwsiNM
104,Never Really Over,Katy Perry,883832,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
105,Better Now,Post Malone,881700,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
106,Te Robaré,Nicky Jam,877877,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
107,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,877479,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
108,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,876509,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
109,Verte Ir,DJ Luian,874089,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
110,Summer Cem (feat. Luciano),Summer Cem,868955,https://open.spotify.com/track/3QIrkRSTz3yPd44HzN6qJr
111,Indeciso,Reik,868337,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
112,Pop Out (feat. Lil Tjay),Polo G,862005,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
113,Girls Like You (feat. Cardi B),Maroon 5,861939,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
